,Sığır,_baseline_,_full_model_,Çevresel Koşullar,Çiftlik
0.025,98.99788108480566,298.2525803443136,-151.6834219280134,-0.7489938167462239,-81.1953140852855
0.25,138.39625895764834,382.5157822748307,-101.51402535879197,28.416527581762125,-43.14712610009303
0.5,168.09971058320616,423.18640182469085,-71.13902077801549,68.54247035973822,2.2996961589304874
0.75,201.50259267559045,452.0507690493015,-42.75792260540936,109.6832249165181,35.55496583445512
0.975,275.0554326829181,520.6060311280363,9.046920803765909,145.88826413566875,77.24511781565641
