,BS,IA,IBM,IBTA,IKT,IRK,MERA,MERAO,MET,OLS,OTL,OTLO,PPZR,SGS,SOA,TKO,TS,TSS,VLO,YSI,_baseline_,_full_model_
0.025,-109.3570226121637,-151.6834219280134,-148.29361383052063,-144.59863978166214,-145.2828133956784,-89.62287442981332,-151.6834219280134,-123.29973287923238,-130.06742401599217,-39.23837160064596,-151.6834219280134,-113.38237939573003,-134.5410724114119,-85.38371525256566,-145.12926196364265,-111.51631199638516,-115.72768907734574,-146.7443596378934,-134.5032727918753,-140.1957631032602,298.2525803443136,-151.6834219280134
0.25,-69.88111931502175,-101.51402535879197,-98.87521605077455,-99.27086622523638,-93.0265245349566,-45.178541207936746,-101.51402535879197,-80.54655958967288,-76.08608791362485,-7.755711736136277,-101.51402535879197,-64.21162295577943,-88.87569404488261,-46.03697992690019,-96.28297707862782,-67.6180376546539,-68.26855977878182,-101.16143868975377,-69.9230931417261,-94.17371477417328,382.5157822748307,-101.51402535879197
0.5,-28.369066013202314,-71.13902077801549,-68.58256662981353,-68.87270915292686,-65.33824100790127,-7.883562694472403,-71.13902077801549,-41.04122366302556,-44.29774324886591,24.06224084269536,-71.13902077801549,-38.04018983738479,-51.400991714281304,-0.9483287987438871,-69.5293535646,-38.07937377561814,-33.868144929354685,-69.05516700870965,-48.2741275928239,-64.73643510278873,423.18640182469085,-71.13902077801549
0.75,5.336938550646892,-42.75792260540936,-40.791256010729626,-39.14408562297774,-30.126681994005537,20.646657547169468,-42.75792260540936,-14.937131601268845,-22.290578509836507,53.983381115851614,-42.75792260540936,-5.4361027545699585,-23.92821546822995,32.45869215613169,-36.01312890521996,-6.8298705610829415,-4.128724580461665,-39.08201176869886,-19.342743660472877,-31.218505054877653,452.0507690493015,-42.75792260540936
0.975,46.58584186422774,9.046920803765909,8.60971427803074,13.85631389108563,14.983234322425005,84.77378261754949,9.046920803765909,17.337645346941326,32.54646594951219,113.67809905627759,9.046920803765909,36.8347617294024,20.63321683997259,75.2953586119978,9.787921515648005,39.36214715348435,43.38280546350219,12.455474142028882,32.41002412249017,12.909742224309362,520.6060311280363,9.046920803765909
