,BS,IA,IBM,IBTA,IKT,IRK,MERA,MERAO,MET,OLS,OTL,OTLO,PPZR,SGS,SOA,TKO,TS,TSS,VLO,YSI,_baseline_,_full_model_
0.025,-112.18419911591255,-147.77078047055875,-145.9845044640606,-141.98830196773523,-133.90241903167606,-84.0627599050006,-147.77078047055875,-143.64822829403442,-144.5843875227868,-44.945704839726474,-147.77078047055875,-106.20916777457978,-146.5917093657643,-72.24751166647822,-137.05357392194844,-123.64455164035866,-106.37815892545864,-142.96017174374433,-136.5190901583844,-142.72709002271696,260.4797495389555,-147.77078047055875
0.25,-69.84867770408226,-96.06098479178246,-95.9797109413231,-95.06797065875742,-84.48629980066096,-29.743489461319143,-96.06098479178246,-94.14711995990467,-92.2950048148735,-11.54045601015872,-96.06098479178246,-63.96126020667356,-97.86754541155784,-37.32702461968216,-91.15982177193723,-75.27590319276942,-62.64168966212134,-94.35195235452073,-74.71783885044698,-93.48929534337026,335.6383184543654,-96.06098479178246
0.5,-29.008969579712925,-63.376091602570796,-61.965846645478905,-60.77046301103633,-48.808145447059474,10.809173949260867,-63.376091602570796,-55.032123572622936,-60.275824131212744,19.0640901198567,-63.376091602570796,-30.396141471113992,-63.662202628273576,13.58878529233425,-61.536103509768395,-43.78333367427001,-27.862400653781947,-62.92625026556266,-48.82704844276191,-61.345193036160595,383.25012766353416,-63.376091602570796
0.75,8.406488831647323,-31.26771942228936,-30.27937139776708,-26.77964027119083,-24.0426003618374,41.56501125576483,-31.26771942228936,-29.8554342549715,-28.232929426817748,53.86966425446997,-31.26771942228936,-1.3713091263416004,-30.425117171454986,42.62051213262805,-23.425786542079322,-16.3170252203858,7.8432511095622885,-28.505799297078852,-16.271419019697532,-28.645429392007827,408.88498863754444,-31.26771942228936
0.975,48.07316823879677,14.111194498263051,12.6059621453802,17.62584861393736,24.85166132217955,103.5040610938327,14.111194498263051,14.97051300398712,20.65954598405885,109.1385945767671,14.111194498263051,44.3190394596611,14.562672397372488,84.52638914484956,15.449057088441947,30.128339084659228,49.17545679788914,17.359442148855862,26.028311337208464,13.44148253094736,466.45241067544976,14.111194498263051
